6sense Company Name,6sense Country,6sense Domain,6sense Revenue Range,6sense Employee Range,Industry,Industry (Legacy)
Cabaletta Bio,United States,cabalettabio.com,$25M - $50M,100 - 249,Biotech & Pharmaceuticals,Biotech
Candel Therapeutics,United States,candeltx.com,$5M - $10M,20 - 49,Biotech & Pharmaceuticals,Biotech
"Capricor Therapeutics, Inc.",United States,capricor.com,$25M - $50M,100 - 249,Biotech & Pharmaceuticals,Biotech
Cartesian Therapeutics,United States,cartesiantherapeutics.com,$25M - $50M,50 - 99,Biotech & Pharmaceuticals,Biotech
"Castle Creek Biosciences, LLC",United States,castlecreekbio.com,$10M - $25M,20 - 49,Biotech & Pharmaceuticals,Government
CellTrans,United States,celltransinc.com,$1M - $5M,0 - 9,Healthcare & Medical,Software and Technology
Cook MyoSite,United States,cookmyosite.com,$25M - $50M,100 - 249,"Healthcare & Medical, Business Services",Healthcare and Medical
Denali Therapeutics,United States,denalitherapeutics.com,$250M - $500M,500 - 999,"Biotech & Pharmaceuticals, Business Services",Pharmaceuticals
Dendreon,United States,dendreon.com,$2.5B - $5B,500 - 999,"Industrial Manufacturing, Biotech & Pharmaceuticals",Biotech
"Elios Therapeutics, LLC",United States,eliostherapeutics.com,$1M - $5M,0 - 9,Biotech & Pharmaceuticals,Manufacturing
Gameto,United States,gametogen.com,$5M - $10M,20 - 49,Biotech & Pharmaceuticals,Software and Technology
Genentech,United States,gene.com,$5B+,"10,000+","Industrial Manufacturing, Biotech & Pharmaceuticals",Healthcare and Medical
Genetix Biotherapeutics,United States,genetixbiotx.com,$50M - $100M,250 - 499,"Biotech & Pharmaceuticals, Business Services",Biotech
Gilead Sciences,United States,gilead.com,$5B+,"10,000+",Biotech & Pharmaceuticals,Manufacturing
"Grace Science, LLC",United States,gracescience.com,$1M - $5M,20 - 49,"Business Services, Healthcare & Medical",Software and Technology
Gradalis,United States,gradalisinc.com,$5M - $10M,20 - 49,"Business Services, Government, Healthcare & Medical, Biotech & Pharmaceuticals",Software and Technology
Herbert Irving Comprehensive Cancer Center,United States,cancer.columbia.edu,$500M - $1B,500 - 999,"Healthcare & Medical, Associations & Non Profits, Biotech & Pharmaceuticals",Government
Hope Biosciences,United States,hope.bio,$1M - $5M,20 - 49,"Business Services, Government",Software and Technology
Immatics,United States,immatics.com,$100M - $250M,500 - 999,Biotech & Pharmaceuticals,Biotech
"ImmunityBio, Inc.",United States,immunitybio.com,$10M - $25M,500 - 999,Biotech & Pharmaceuticals,Biotech
"Imunon, Inc.",United States,imunon.com,$5M - $10M,20 - 49,Biotech & Pharmaceuticals,Biotech
"Intellia Therapeutics, Inc.",United States,intelliatx.com,$25M - $50M,500 - 999,Biotech & Pharmaceuticals,Biotech
Johnson & Johnson,United States,jnj.com,$5B+,"10,000+","Biotech & Pharmaceuticals, Healthcare & Medical",Pharmaceuticals
Kite Pharma,United States,kitepharma.com,$250M - $500M,"1,000 - 4,999","Biotech & Pharmaceuticals, Education",Pharmaceuticals
"Krystal Biotech, Inc.",United States,krystalbio.com,$250M - $500M,250 - 499,"Biotech & Pharmaceuticals, Business Services",Biotech
Kyverna Therapeutics,United States,kyvernatx.com,$10M - $25M,100 - 249,Biotech & Pharmaceuticals,Biotech
Legend Biotech,United States,legendbiotech.com,$500M - $1B,"1,000 - 4,999",Biotech & Pharmaceuticals,Biotech
Lyell Immunopharma,United States,lyell.com,$50M - $100M,100 - 249,"Business Services, Biotech & Pharmaceuticals",Biotech
"Marker Therapeutics, Inc.",United States,markertherapeutics.com,$1M - $5M,20 - 49,Biotech & Pharmaceuticals,Biotech
Moderna,United States,modernatx.com,$2.5B - $5B,"1,000 - 4,999",Biotech & Pharmaceuticals,Biotech
NS Pharma,United States,nspharma.com,$10M - $25M,100 - 249,Biotech & Pharmaceuticals,Healthcare and Medical
Neurogene Inc.,United States,neurogene.com,$5M - $10M,100 - 249,Biotech & Pharmaceuticals,Biotech
Novartis,United States,novartis.com,$5B+,"10,000+",Biotech & Pharmaceuticals,Biotech
Ocugen,United States,ocugen.com,$25M - $50M,50 - 99,Biotech & Pharmaceuticals,Biotech
Pfizer,United States,pfizer.com,$5B+,"10,000+",Biotech & Pharmaceuticals,Pharmaceuticals
PolarityBio,United States,polaritybio.com,$1 - $1M,20 - 49,Biotech & Pharmaceuticals,Biotech
ProKidney Corp.,United States,prokidney.com,$1 - $1M,100 - 249,Biotech & Pharmaceuticals,Biotech
"Protara Therapeutics, Inc.",United States,protaratx.com,$10M - $25M,20 - 49,Biotech & Pharmaceuticals,Biotech
REGENXBIO,United States,regenxbio.com,$50M - $100M,250 - 499,Biotech & Pharmaceuticals,Biotech
Rarity PBC,United States,raritypbc.com,$1M - $5M,0 - 9,"Biotech & Pharmaceuticals, Business Services",Software and Technology
Replimune,United States,replimune.com,$100M - $250M,250 - 499,Biotech & Pharmaceuticals,Biotech
Sarepta Therapeutics,United States,sarepta.com,$1B - $2.5B,500 - 999,"Biotech & Pharmaceuticals, Healthcare & Medical, Education",Biotech
TScan Therapeutics,United States,tscan.com,$25M - $50M,100 - 249,Biotech & Pharmaceuticals,Biotech
Taysha Gene Therapies,United States,tayshagtx.com,$50M - $100M,100 - 249,Biotech & Pharmaceuticals,Biotech
Tenaya Therapeutics,United States,tenayatherapeutics.com,$25M - $50M,100 - 249,Biotech & Pharmaceuticals,Biotech
Throne Biotechnologies,United States,thronebio.com,$1M - $5M,0 - 9,Healthcare & Medical,Software and Technology
US WorldMeds,United States,usworldmeds.com,$25M - $50M,50 - 99,Biotech & Pharmaceuticals,Furniture
Ultragenyx Pharmaceutical,United States,ultragenyx.com,$500M - $1B,"1,000 - 4,999","Biotech & Pharmaceuticals, Healthcare & Medical",Biotech
University Of California - Los Angeles,United States,ucla.edu,$5B+,"10,000+",Education,Education
Vericel Corporation,United States,vcel.com,$100M - $250M,250 - 499,"Business Services, Biotech & Pharmaceuticals",Biotech
iECURE,United States,iecure.com,$1M - $5M,20 - 49,Biotech & Pharmaceuticals,Software and Technology
